1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,SalePrice,HouseAge,RemodAge,GarageAge,TotalSF,AboveGradeSF,IsRemodeled,Has2ndFlr,HasPorch,HasDeck
2515,0.0,4.0,No,1219,Rec,816,484,Missing,2515,TA,32668,69.0,0.0,0,3,6,2035,200624,68,50,50.0,4550.0,2515.0,1,0,0,0
958,620.0,3.0,No,403,BLQ,238,240,Unf,1578,Fa,9490,79.0,0.0,0,7,6,806,133000,84,75,84.0,2384.0,1578.0,1,1,0,0
979,224.0,3.0,No,185,LwQ,524,352,Unf,1203,Gd,7015,69.0,161.0,0,4,5,709,110000,75,75,75.0,1912.0,1203.0,0,1,0,0
1156,866.0,4.0,No,392,BLQ,768,505,Fin,2022,TA,10005,83.0,299.0,117,5,7,1160,192000,48,48,48.0,3182.0,2022.0,0,1,0,1
525,0.0,3.0,No,0,Unf,525,264,Unf,1092,TA,1680,21.0,381.0,0,5,6,525,88000,54,54,54.0,1050.0,525.0,0,0,0,0
1022,0.0,2.0,No,247,Missing,310,280,Unf,1022,TA,7200,60.0,0.0,30,4,5,1022,85000,115,19,69.0,2044.0,1022.0,1,0,1,0
1464,0.0,3.0,Gd,929,GLQ,556,754,Unf,1464,Gd,15256,49.0,84.0,160,5,8,1485,282922,18,18,18.0,2949.0,1464.0,0,0,0,0
780,595.0,3.0,No,0,Missing,780,544,Unf,1375,Gd,9000,50.0,0.0,162,6,6,780,141000,88,75,46.0,2155.0,1375.0,1,1,0,0
2411,2065.0,4.0,Av,2096,GLQ,300,813,Fin,4476,Ex,15623,160.0,0.0,78,5,10,2396,745000,29,29,29.0,6872.0,4476.0,0,1,0,0
551,551.0,2.0,No,239,GLQ,312,480,Unf,1102,Gd,5105,69.0,0.0,60,5,7,551,148800,21,21,21.0,1653.0,1102.0,0,1,0,0
1352,0.0,2.0,No,0,Unf,1352,466,Missing,1352,Gd,4230,47.0,0.0,241,5,7,1352,208900,19,18,19.0,2704.0,1352.0,1,0,0,0
1680,0.0,4.0,No,0,Unf,1680,528,Unf,1680,TA,11500,69.0,164.0,0,6,5,1680,136905,49,49,49.0,3360.0,1680.0,0,0,0,0
1005,978.0,3.0,No,694,GLQ,284,490,Fin,1983,Gd,10762,69.0,344.0,0,5,7,978,225000,26,26,26.0,2961.0,1983.0,0,1,0,0
900,0.0,3.0,Av,769,ALQ,95,288,RFn,900,TA,7838,68.0,0.0,144,5,5,864,123000,58,58,58.0,1764.0,900.0,0,0,0,0
1082,0.0,2.0,No,336,BLQ,746,240,Unf,1082,TA,11664,60.0,206.0,130,5,6,1082,119200,77,75,77.0,2164.0,1082.0,1,0,0,0
1314,0.0,3.0,No,922,Rec,392,294,RFn,1314,TA,8400,70.0,0.0,0,6,5,1314,145000,68,68,68.0,2628.0,1314.0,0,0,0,0
1061,862.0,3.0,No,674,GLQ,76,564,RFn,1923,Gd,10186,107.0,0.0,39,5,7,750,190000,33,33,33.0,2673.0,1923.0,0,1,0,0
990,0.0,3.0,No,588,Missing,402,0,Missing,990,TA,8070,60.0,0.0,0,5,4,990,123600,31,30,0.0,1980.0,990.0,1,0,0,0
1228,0.0,3.0,No,0,Unf,1228,271,Unf,1228,Gd,8544,69.0,0.0,65,6,5,1228,149350,59,19,59.0,2456.0,1228.0,1,0,0,0
916,0.0,4.0,No,299,ALQ,611,164,Unf,1826,Ex,2500,50.0,0.0,0,8,7,910,155000,110,20,110.0,1826.0,916.0,1,0,0,0
910,0.0,4.0,No,507,Rec,403,720,Unf,1385,TA,8520,71.0,0.0,0,4,5,910,166000,73,73,25.0,1820.0,910.0,0,0,0,0
848,0.0,1.0,Gd,662,GLQ,186,420,Fin,848,Gd,4438,69.0,169.0,0,5,6,848,144500,21,21,21.0,1696.0,848.0,0,0,0,0
816,0.0,2.0,Gd,104,LwQ,0,516,Unf,816,TA,8472,110.0,0.0,0,5,5,816,110000,62,62,62.0,1632.0,816.0,0,0,0,0
702,779.0,3.0,No,0,Unf,702,343,Fin,1481,TA,8125,65.0,0.0,36,5,6,702,174000,31,30,31.0,2183.0,1481.0,1,1,0,0
943,933.0,4.0,No,442,ALQ,459,540,RFn,1876,Gd,9120,76.0,270.0,69,6,6,901,185000,51,51,51.0,2777.0,1876.0,0,1,0,0
916,826.0,4.0,No,216,BLQ,700,424,Unf,1742,Gd,17671,121.0,0.0,169,9,8,916,168000,143,39,100.0,2658.0,1742.0,1,1,0,0
769,804.0,3.0,No,378,GLQ,378,440,Unf,1573,Gd,2117,69.0,216.0,32,5,6,756,177500,25,25,25.0,2329.0,1573.0,0,1,0,0
630,0.0,1.0,Av,131,BLQ,0,0,Missing,630,TA,1936,21.0,0.0,0,6,4,630,84500,55,55,0.0,1260.0,630.0,0,0,0,0
1698,0.0,3.0,No,1234,GLQ,464,768,Missing,1698,Ex,13286,86.0,340.0,64,5,9,1698,320000,18,17,18.0,3396.0,1698.0,1,0,0,0
832,384.0,2.0,No,442,Rec,390,336,Unf,1216,TA,8480,80.0,0.0,0,5,5,832,118500,78,75,78.0,2048.0,1216.0,1,1,0,0
1776,0.0,4.0,No,0,Unf,1584,888,Unf,1776,TA,11475,85.0,95.0,25,5,5,1584,110000,67,67,57.0,3360.0,1776.0,0,0,0,0
1006,769.0,3.0,No,513,ALQ,227,425,Missing,1775,Gd,9317,75.0,137.0,72,5,7,740,213000,32,32,32.0,2515.0,1775.0,0,1,0,0
912,0.0,2.0,Av,773,GLQ,115,470,RFn,912,TA,7540,69.0,0.0,0,6,6,888,156000,47,47,47.0,1800.0,912.0,0,0,0,0
1145,0.0,4.0,Av,655,GLQ,490,836,RFn,2198,Gd,14260,84.0,350.0,84,5,8,1145,250000,25,25,25.0,2290.0,1145.0,0,0,0,0
2046,0.0,3.0,Mn,0,Unf,2046,834,Fin,2046,Gd,11844,80.0,464.0,82,5,8,2046,372500,17,17,17.0,4092.0,2046.0,0,0,0,0
729,717.0,3.0,Gd,604,GLQ,125,406,Unf,1446,TA,21872,57.0,0.0,22,5,7,729,175000,29,28,29.0,2175.0,1446.0,1,1,0,0
1561,0.0,2.0,No,1153,GLQ,408,556,Fin,1561,Ex,7313,60.0,246.0,47,5,9,1561,277500,20,20,20.0,3122.0,1561.0,0,0,0,1
882,0.0,3.0,No,138,LwQ,276,461,Unf,882,TA,7700,70.0,0.0,0,5,5,882,112500,53,53,45.0,1764.0,882.0,0,0,0,0
912,1182.0,4.0,No,0,Unf,912,615,Fin,2094,Gd,9375,75.0,0.0,182,5,7,912,263000,22,21,22.0,3006.0,2094.0,1,1,0,0
1500,0.0,3.0,Av,1032,GLQ,431,712,RFn,2622,Gd,12256,98.0,362.0,32,5,8,1463,325000,31,30,31.0,2963.0,1500.0,1,0,0,0
2158,0.0,4.0,Av,477,ALQ,725,576,Unf,2158,Gd,12615,84.0,0.0,29,7,6,1202,243000,75,24,75.0,3360.0,2158.0,1,0,0,0
1360,0.0,3.0,No,384,ALQ,0,572,Unf,1360,TA,7134,60.0,0.0,50,5,5,384,130000,70,70,63.0,1744.0,1360.0,0,0,0,0
1310,0.0,3.0,Av,24,GLQ,1286,400,Fin,1310,Gd,8767,65.0,0.0,0,5,7,1310,164990,20,20,20.0,2620.0,1310.0,0,0,0,0
1836,0.0,3.0,Mn,1039,GLQ,797,862,Fin,1836,Gd,11362,107.0,42.0,185,5,8,1836,280000,21,20,21.0,3672.0,1836.0,1,0,0,0
1490,1304.0,4.0,No,689,Missing,773,810,Fin,2794,Ex,15138,174.0,506.0,146,5,8,1462,403000,30,29,30.0,4256.0,2794.0,1,1,0,0
1728,0.0,6.0,No,40,GLQ,1424,352,Unf,1728,TA,10624,69.0,84.0,0,4,5,1728,119000,61,61,23.0,3456.0,1728.0,0,0,0,0
825,0.0,2.0,No,180,LwQ,0,720,RFn,825,TA,8235,49.0,0.0,50,7,5,825,125000,70,30,62.0,1650.0,825.0,1,0,0,0
894,0.0,3.0,Av,182,LwQ,0,308,Unf,894,TA,10650,75.0,0.0,0,6,5,894,128200,49,49,49.0,1788.0,894.0,0,0,0,0
918,765.0,3.0,No,226,LwQ,192,440,RFn,1683,TA,11184,70.0,92.0,0,5,6,918,172500,47,47,47.0,2601.0,1683.0,0,1,0,0
930,0.0,2.0,Missing,0,Missing,0,308,Unf,930,Gd,11100,60.0,0.0,0,7,4,0,84900,79,19,79.0,930.0,930.0,1,0,0,0
1572,1096.0,3.0,Av,1016,GLQ,556,726,Fin,2668,Ex,13688,110.0,664.0,0,5,9,1572,412500,22,21,22.0,4240.0,2668.0,1,1,0,0
1073,0.0,3.0,No,836,ALQ,237,515,RFn,1073,TA,10289,79.0,168.0,0,7,5,1073,156000,60,60,60.0,2146.0,1073.0,0,0,0,0
1334,0.0,2.0,No,686,ALQ,664,630,RFn,1334,TA,9650,80.0,360.0,16,5,6,1350,167900,48,48,48.0,2684.0,1334.0,0,0,0,0
788,0.0,2.0,No,266,Rec,522,0,Missing,788,TA,7446,69.0,0.0,0,5,4,788,100000,84,75,0.0,1576.0,788.0,1,0,0,0
1644,0.0,2.0,Gd,1518,GLQ,0,569,Fin,1644,Gd,12800,69.0,145.0,0,5,7,1518,275000,36,36,36.0,3162.0,1644.0,0,0,0,0
872,0.0,3.0,No,0,Unf,858,480,Unf,872,TA,8294,70.0,0.0,0,5,4,858,123000,54,54,51.0,1730.0,872.0,0,0,0,0
768,664.0,2.0,No,0,Unf,264,360,Unf,1432,TA,9600,60.0,0.0,0,7,5,264,132000,115,23,115.0,1696.0,1432.0,1,1,0,0
901,900.0,3.0,No,0,Unf,893,800,Missing,1801,Gd,10463,72.0,0.0,116,5,8,893,239900,20,20,20.0,2694.0,1801.0,0,1,0,0
1121,0.0,3.0,No,651,Rec,470,480,Unf,1121,TA,8816,80.0,0.0,80,6,5,1121,139000,62,62,62.0,2242.0,1121.0,0,0,0,0
789,0.0,2.0,No,104,ALQ,516,250,Unf,789,TA,6000,50.0,0.0,0,5,5,789,115000,77,75,77.0,1578.0,789.0,1,0,0,0
1054,0.0,3.0,Gd,763,GLQ,173,480,RFn,1054,Gd,8800,80.0,156.0,0,7,6,936,137500,62,62,62.0,1990.0,1054.0,0,0,0,0
1048,0.0,3.0,No,586,BLQ,462,286,Unf,1048,TA,10152,72.0,120.0,20,5,5,1048,135000,69,69,69.0,2096.0,1048.0,0,0,0,0
1236,0.0,2.0,No,360,BLQ,710,447,Unf,1236,Gd,10011,72.0,64.0,0,6,5,1070,134450,68,29,68.0,2306.0,1236.0,1,0,0,0
1152,0.0,3.0,Av,1014,GLQ,138,484,RFn,1152,TA,14112,69.0,86.0,0,7,5,1152,180500,61,61,61.0,2304.0,1152.0,0,0,0,0
1679,0.0,3.0,No,1138,GLQ,270,575,RFn,1679,Gd,8125,65.0,258.0,42,5,6,1408,193500,31,27,31.0,3087.0,1679.0,1,0,0,0
1478,0.0,3.0,No,189,ALQ,628,442,RFn,1478,TA,8400,70.0,0.0,0,3,6,1478,156500,68,68,68.0,2956.0,1478.0,0,0,0,0
928,0.0,2.0,No,377,Rec,551,252,Unf,928,TA,13300,70.0,0.0,0,7,5,928,132000,69,25,69.0,1856.0,928.0,1,0,0,0
846,846.0,3.0,Av,0,Unf,846,650,RFn,1692,Gd,13159,83.0,0.0,114,5,7,846,224500,16,16,16.0,2538.0,1692.0,0,1,0,0
661,589.0,3.0,No,0,Unf,661,552,Unf,1250,TA,5362,53.0,0.0,0,6,5,661,139000,115,22,40.0,1911.0,1250.0,1,1,0,0
847,886.0,3.0,Gd,0,Unf,847,433,Fin,1733,Gd,12394,69.0,0.0,48,5,7,847,225000,22,22,22.0,2580.0,1733.0,0,1,0,0
716,716.0,3.0,No,425,Missing,291,432,Fin,1432,Gd,7795,71.0,0.0,51,5,7,716,188500,21,20,21.0,2148.0,1432.0,1,1,0,0
