1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,SalePrice,HouseAge,RemodAge,GarageAge,TotalSF,AboveGradeSF,IsRemodeled,Has2ndFlr,HasPorch,HasDeck,KitchenQual_enc,BsmtExposure_enc,BsmtFinType1_enc,GarageFinish_enc
7.83002808253384,0.0,4.0,1219,816,484,4,4,2,0,0,3,6,2035,200624,68,50,50.0,67.45368781616021,4,1,0,0,0,2,2,4,1
6.86484777797086,620.0,3.0,403,238,240,3,2,3,0,0,7,6,806,133000,84,75,84.0,48.82622246293481,3,1,1,0,0,1,2,5,2
6.88653164253051,224.0,3.0,185,524,352,3,1,2,1,0,4,5,709,110000,75,75,75.0,43.726422218150894,3,0,1,0,0,3,2,3,2
7.052721049232323,866.0,4.0,392,768,505,4,2,3,3,3,5,7,1160,192000,48,48,48.0,56.40921910468182,4,0,1,0,1,2,2,5,4
6.263398262591624,0.0,3.0,0,525,264,2,0,0,4,0,5,6,525,88000,54,54,54.0,32.4037034920393,1,0,0,0,0,2,2,2,2
6.92951677076365,0.0,2.0,247,310,280,2,1,1,0,0,4,5,1022,85000,115,19,69.0,45.21061822182926,2,1,0,1,0,2,2,1,2
7.288927694521257,0.0,3.0,929,556,754,3,4,1,1,4,5,8,1485,282922,18,18,18.0,54.30469592954186,3,0,0,0,0,3,5,7,2
6.659293919683638,595.0,3.0,0,780,544,3,2,1,0,4,6,6,780,141000,88,75,46.0,46.42197755374064,3,1,1,0,0,3,2,1,2
7.787796878181171,2065.0,4.0,2096,300,813,4,4,4,0,2,5,10,2396,745000,29,29,29.0,82.89752710425083,4,0,1,0,0,4,4,7,4
6.311734809152915,551.0,2.0,239,312,480,2,1,2,0,1,5,7,551,148800,21,21,21.0,40.65710270051225,2,0,1,0,0,3,2,7,2
7.20934025660291,0.0,2.0,0,1352,466,3,0,1,0,4,5,7,1352,208900,19,18,19.0,52.0,3,1,0,0,0,3,2,2,1
7.426549072397305,0.0,4.0,0,1680,528,3,3,2,1,0,6,5,1680,136905,49,49,49.0,57.96550698475775,3,0,0,0,0,2,2,2,2
6.912742820493176,978.0,3.0,694,284,490,4,2,2,4,0,5,7,978,225000,26,26,26.0,54.415071441651165,4,0,1,0,0,3,2,7,4
6.802394763324311,0.0,3.0,769,95,288,2,1,2,0,4,5,5,864,123000,58,58,58.0,42.0,2,0,0,0,0,2,4,6,3
6.9865664594064265,0.0,2.0,336,746,240,2,3,1,2,3,5,6,1082,119200,77,75,77.0,46.51881339845203,2,1,0,0,0,2,2,5,2
7.1808311990445555,0.0,3.0,922,392,294,3,2,2,0,0,6,5,1314,145000,68,68,68.0,51.264022471905186,3,0,0,0,0,2,2,4,3
6.966967138613983,862.0,3.0,674,76,564,4,2,4,0,1,5,7,750,190000,33,33,33.0,51.70106381884226,4,0,1,0,0,3,2,7,3
6.897704943128636,0.0,3.0,588,402,0,2,2,1,0,0,5,4,990,123600,31,30,0.0,44.49719092257398,2,1,0,0,0,2,2,1,1
7.113142108707088,0.0,3.0,0,1228,271,3,2,2,0,1,6,5,1228,149350,59,19,59.0,49.558046773455466,3,1,0,0,0,3,2,2,2
6.82001636467413,0.0,4.0,299,611,164,4,0,1,0,0,8,7,910,155000,110,20,110.0,42.731721238442994,2,1,0,0,0,4,2,6,2
6.813444599510896,0.0,4.0,507,403,720,3,2,2,0,0,4,5,910,166000,73,73,25.0,42.661458015403085,2,0,0,0,0,2,2,4,2
6.742880635791903,0.0,1.0,662,186,420,2,0,2,2,0,5,6,848,144500,21,21,21.0,41.182520563948,2,0,0,0,0,3,5,7,4
6.704414354964107,0.0,2.0,104,0,516,2,2,4,0,0,5,5,816,110000,62,62,62.0,40.39801975344831,2,0,0,0,0,2,5,3,2
6.553933404025811,779.0,3.0,0,702,343,3,2,2,0,1,5,6,702,174000,31,30,31.0,46.72258554489466,3,1,1,0,0,2,2,2,4
6.849066282633458,933.0,4.0,442,459,540,4,2,2,3,2,6,6,901,185000,51,51,51.0,52.69724850502159,4,0,1,0,0,3,2,6,3
6.82001636467413,826.0,4.0,216,700,424,3,4,4,0,4,9,8,916,168000,143,39,100.0,51.55579501860097,3,1,1,0,0,3,2,5,2
6.645090969505644,804.0,3.0,378,378,440,3,0,2,2,0,5,6,756,177500,25,25,25.0,48.25971404805462,3,0,1,0,0,3,2,7,2
6.4457198193855785,0.0,1.0,131,0,0,1,0,0,0,0,6,4,630,84500,55,55,0.0,35.4964786985977,1,0,0,0,0,2,4,5,1
7.437206366871292,0.0,3.0,1234,464,768,3,3,3,4,1,5,9,1698,320000,18,17,18.0,58.27520913733386,3,1,0,0,0,4,2,7,1
6.723832440821209,384.0,2.0,442,390,336,3,2,3,0,0,5,5,832,118500,78,75,78.0,45.254833995939045,3,1,1,0,0,2,2,4,2
7.4821189235521155,0.0,4.0,0,1584,888,3,3,3,1,0,5,5,1584,110000,67,67,57.0,57.96550698475775,3,0,0,0,0,2,2,2,2
6.913737350659685,769.0,3.0,513,227,425,3,2,2,1,2,5,7,740,213000,32,32,32.0,50.149775672479336,3,0,1,0,0,3,2,6,1
6.815639990074331,0.0,2.0,773,115,470,2,1,2,0,0,6,6,888,156000,47,47,47.0,42.42640687119285,2,0,0,0,0,2,4,7,3
7.0431599159883405,0.0,4.0,655,490,836,4,3,3,4,2,5,8,1145,250000,25,25,25.0,47.853944456021594,2,0,0,0,0,3,4,7,3
7.6236419465115715,0.0,3.0,0,2046,834,4,3,3,4,2,5,8,2046,372500,17,17,17.0,63.968742366877905,4,0,0,0,0,3,3,2,4
6.591673732008658,717.0,3.0,604,125,406,3,4,1,0,0,5,7,729,175000,29,28,29.0,46.636895265444075,3,1,1,0,0,2,5,7,2
7.353081920515432,0.0,2.0,1153,408,556,3,1,1,2,1,5,9,1561,277500,20,20,20.0,55.87486017879597,3,0,0,0,1,4,2,7,4
6.782192056006791,0.0,3.0,138,276,461,2,1,2,0,0,5,5,882,112500,53,53,45.0,42.0,2,0,0,0,0,2,2,3,2
6.815639990074331,1182.0,4.0,0,912,615,4,2,2,0,4,5,7,912,263000,22,21,22.0,54.8270006474912,4,1,1,0,0,3,2,2,4
7.313220387090301,0.0,3.0,1032,431,712,4,3,4,4,0,5,8,1463,325000,31,30,31.0,54.433445601027316,3,1,0,0,0,3,4,7,3
7.67693714581808,0.0,4.0,477,725,576,4,3,3,0,0,7,6,1202,243000,75,24,75.0,57.96550698475775,4,1,0,0,0,3,4,6,2
7.215239978730097,0.0,3.0,384,0,572,3,1,1,0,1,5,5,384,130000,70,70,63.0,41.7612260356422,3,0,0,0,0,2,2,6,2
7.177782416195197,0.0,3.0,24,1286,400,3,2,2,0,0,5,7,1310,164990,20,20,20.0,51.18593556827891,3,0,0,0,0,3,4,7,4
7.515344571180436,0.0,3.0,1039,797,862,4,3,4,0,4,5,8,1836,280000,21,20,21.0,60.597029630172464,4,1,0,0,0,3,3,7,4
7.306531398939505,1304.0,4.0,689,773,810,4,4,4,4,4,5,8,1462,403000,30,29,30.0,65.23802572120036,4,1,1,0,0,4,2,1,4
