1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,SalePrice,HouseAge,RemodAge,GarageAge,TotalSF,AboveGradeSF,IsRemodeled,Has2ndFlr,HasPorch,HasDeck,KitchenQual_enc,BsmtExposure_enc,BsmtFinType1_enc,GarageFinish_enc
7.510977752014095,0.0,3.0,48,1774,774,4,3,3,4,3,5,9,1822,314813,18,18,18.0,60.41522986797286,4,0,0,0,0,3,4,1,2
6.795705775173514,0.0,2.0,0,894,308,2,1,1,0,0,5,5,894,109500,63,63,63.0,42.28474902373195,2,0,0,0,0,2,2,2,1
6.871091294610546,0.0,2.0,713,163,432,2,3,3,0,0,7,5,876,163500,104,19,104.0,42.89522117905443,2,1,0,0,0,2,2,6,2
7.4318919168078,0.0,3.0,1218,350,857,3,3,2,1,1,5,8,1568,271000,23,23,23.0,57.0701322935211,3,0,0,0,0,3,2,7,3
7.340186835320115,0.0,3.0,0,1541,843,3,3,4,1,2,5,7,1541,205000,24,23,24.0,55.51576352712804,3,1,0,0,0,3,2,2,3
7.107425474110705,0.0,2.0,410,811,400,3,1,2,0,3,5,7,1221,185000,21,20,21.0,49.416596402423345,3,1,0,0,0,3,2,7,3
7.188412736496954,0.0,3.0,643,445,440,3,2,3,1,4,5,6,1088,160000,60,60,60.0,49.1121166312347,3,0,0,0,0,2,2,4,1
6.54534966033442,720.0,3.0,604,92,484,3,0,0,0,1,5,7,696,155000,26,26,26.0,45.95650117230423,3,0,1,0,0,3,2,6,2
6.26530121273771,462.0,2.0,462,0,297,2,0,0,0,2,5,4,462,91000,52,52,52.0,38.07886552931954,2,0,1,0,0,2,5,7,2
6.767343125265392,349.0,3.0,375,360,440,3,1,1,0,0,6,6,735,131000,84,75,22.0,44.19275958796871,3,1,1,0,0,2,2,6,2
6.633318433280377,896.0,3.0,0,746,397,3,1,1,1,3,5,7,746,165400,22,21,22.0,49.01020301937138,3,1,1,0,0,3,2,2,4
7.216709486709457,0.0,2.0,20,1342,460,3,1,1,3,0,5,6,1362,194700,20,19,20.0,52.191953402799555,3,1,0,0,0,3,4,6,1
6.957497370876951,788.0,4.0,0,756,442,4,1,2,4,3,5,6,756,155000,59,59,59.0,50.941142507800116,4,0,1,0,0,2,2,2,2
7.226209010100671,0.0,2.0,0,1367,451,3,3,2,0,0,5,6,1367,140000,71,71,71.0,52.364109846344185,3,0,0,0,0,2,2,2,2
7.022868086082641,0.0,2.0,144,172,528,2,3,4,0,1,7,5,924,147000,77,20,77.0,45.232731511594565,2,1,0,0,0,3,2,7,2
7.266827347520591,0.0,2.0,680,289,588,3,4,2,0,4,7,5,1360,194000,47,47,47.0,52.839379254491625,3,0,0,0,0,3,5,6,2
6.590301048196686,728.0,3.0,0,728,400,3,2,2,0,0,5,7,728,179540,18,18,18.0,46.73328578219169,3,0,1,0,0,3,4,2,4
7.104144092987527,0.0,3.0,611,577,497,3,2,2,0,0,5,7,1188,173000,35,34,35.0,49.040799340956916,3,1,0,0,0,3,4,7,2
6.946975992135418,0.0,2.0,0,0,625,2,1,1,0,0,7,5,0,109500,75,75,75.0,32.2490309931942,2,0,0,0,0,2,1,1,2
6.416732282512326,612.0,2.0,294,318,528,3,0,0,0,4,5,6,612,173733,16,16,16.0,42.8485705712571,3,0,1,0,0,3,4,7,3
6.92951677076365,752.0,2.0,0,952,468,3,1,1,0,0,5,7,952,129900,94,75,94.0,52.21110992882645,3,1,1,0,0,2,2,2,2
6.8679744089702925,406.0,4.0,241,229,384,3,2,1,0,3,8,5,861,119000,125,75,47.0,47.20169488482379,3,1,1,0,0,2,2,4,2
