1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,HouseAge,RemodAge,GarageAge,TotalSF,AboveGradeSF,IsRemodeled,Has2ndFlr,HasPorch,HasDeck
1828,0.0,,Av,48,,1774,774,Unf,1828,Gd,11694,90.0,452.0,108,5,9,1822,18,18,18.0,3650.0,1828.0,0,0,0,0
894,0.0,2.0,No,0,Unf,894,308,,894,TA,6600,60.0,0.0,0,5,5,894,63,63,63.0,1788.0,894.0,0,0,0,0
964,0.0,2.0,No,713,ALQ,163,432,Unf,964,TA,13360,80.0,0.0,0,7,5,876,104,19,104.0,1840.0,964.0,1,0,0,0
1689,0.0,3.0,No,1218,GLQ,350,857,RFn,1689,Gd,13265,,148.0,59,5,8,1568,23,23,23.0,3257.0,1689.0,0,0,0,0
1541,0.0,3.0,No,0,Unf,1541,843,RFn,1541,Gd,13704,118.0,150.0,81,5,7,1541,24,23,24.0,3082.0,1541.0,1,0,0,0
1221,0.0,2.0,No,410,GLQ,811,400,RFn,1221,Gd,7500,62.0,0.0,113,5,7,1221,21,20,21.0,2442.0,1221.0,1,0,0,0
1324,0.0,3.0,No,643,Rec,445,440,,1324,TA,8658,84.0,101.0,138,5,6,1088,60,60,60.0,2412.0,1324.0,0,0,0,0
696,720.0,3.0,No,604,ALQ,92,484,Unf,1416,Gd,2572,24.0,0.0,44,5,7,696,26,26,26.0,2112.0,1416.0,0,1,0,0
526,462.0,2.0,Gd,462,GLQ,0,297,Unf,988,TA,1596,21.0,0.0,101,5,4,462,52,52,52.0,1450.0,988.0,0,1,0,0
869,349.0,3.0,No,375,ALQ,360,440,Unf,1218,TA,6000,60.0,0.0,0,6,6,735,84,75,22.0,1953.0,1218.0,1,1,0,0
760,896.0,3.0,No,0,Unf,746,397,Fin,1656,Gd,6931,60.0,92.0,128,5,7,746,22,21,22.0,2402.0,1656.0,1,1,0,0
1362,0.0,2.0,Av,20,ALQ,1342,460,,1362,Gd,7577,61.0,256.0,28,5,6,1362,20,19,20.0,2724.0,1362.0,1,0,0,0
1051,788.0,4.0,No,0,Unf,756,442,Unf,1839,TA,7700,70.0,351.0,124,5,6,756,59,59,59.0,2595.0,1839.0,0,1,0,0
1375,0.0,2.0,No,0,Unf,1367,451,Unf,1375,TA,11310,75.0,0.0,30,5,6,1367,71,71,71.0,2742.0,1375.0,0,0,0,0
1122,,2.0,No,144,GLQ,172,528,Unf,1122,Gd,12000,100.0,0.0,36,7,5,924,77,20,77.0,2046.0,1122.0,1,0,0,0
1432,0.0,2.0,Gd,680,ALQ,289,588,Unf,1432,Gd,16157,,0.0,180,7,5,1360,47,47,47.0,2792.0,1432.0,0,0,0,0
728,728.0,3.0,Av,0,Unf,728,400,Fin,1456,Gd,9018,65.0,0.0,24,5,7,728,18,18,18.0,2184.0,1456.0,0,1,0,0
